episode_name                                                                                                                    ,locale                                                          ,web_start_episode   ,web_finish_episode  ,tablet_start_episode,tablet_finish_episode,web_finish_rate                         ,tablet_finish_rate                      ,web_avg_stars                           ,tablet_avg_stars                        ,web_no_submit       ,tablet_no_submit    
AddingAndSubtractingAngles                                                                                                      ,Argentina / en                                                  ,                   0,                   0,                   5,                    3,                      .00000000000000000,                      .60000000000000000,                                 .000000,                                4.666666,                   0,                   1
AdditionWithPipes                                                                                                               ,Argentina / en                                                  ,                   0,                   0,                   5,                    2,                      .00000000000000000,                      .40000000000000000,                                 .000000,                                4.000000,                   0,                   2
AirportRegroupingMachine                                                                                                        ,Argentina / en                                                  ,                   0,                   0,                  12,                    3,                      .00000000000000000,                      .25000000000000000,                                 .000000,                                2.000000,                   0,                   2
AlgorithmWorksheets                                                                                                             ,Argentina / en                                                  ,                   5,                   5,                  12,                    6,                     1.00000000000000000,                      .50000000000000000,                                2.400000,                                1.857142,                   0,                   1
AnglesAsCircularSectors                                                                                                         ,Argentina / en                                                  ,                   0,                   0,                   5,                    5,                      .00000000000000000,                     1.00000000000000000,                                 .000000,                                4.415000,                   0,                   0
AreaOfRectangles                                                                                                                ,Argentina / en                                                  ,                   3,                   2,                   1,                    1,                      .66666666666666666,                     1.00000000000000000,                                2.250000,                                2.500000,                   1,                   0
AreaOfRectanglesSimple                                                                                                          ,Argentina / en                                                  ,                  12,                  10,                  15,                    5,                      .83333333333333333,                      .33333333333333333,                                2.187500,                                2.250000,                   0,                   2
AskAMonsterComparison                                                                                                           ,Argentina / en                                                  ,                  12,                  10,                  20,                   10,                      .83333333333333333,                      .50000000000000000,                                2.321250,                                1.750000,                   0,                   5
BalloonFractions                                                                                                                ,Argentina / en                                                  ,                   3,                   3,                   1,                    1,                     1.00000000000000000,                     1.00000000000000000,                                2.125000,                                2.500000,                   0,                   0
BarSequence                                                                                                                     ,Argentina / en                                                  ,                   1,                   0,                   0,                    0,                      .00000000000000000,                      .00000000000000000,                                 .000000,                                 .000000,                   0,                   0
BeadsFractions                                                                                                                  ,Argentina / en                                                  ,                   8,                   5,                   6,                    4,                      .62500000000000000,                      .66666666666666666,                                2.250000,                                2.333333,                   1,                   0
BirdFlocksParity                                                                                                                ,Argentina / en                                                  ,                   0,                   0,                  21,                   19,                      .00000000000000000,                      .90476190476190476,                                 .000000,                                2.980000,                   0,                   1
BirdhouseFractions                                                                                                              ,Argentina / en                                                  ,                   5,                   4,                   5,                    4,                      .80000000000000000,                      .80000000000000000,                                2.416666,                                2.416666,                   0,                   0
BirdhouseFractionsMaking                                                                                                        ,Argentina / en                                                  ,                   3,                   3,                  17,                    4,                     1.00000000000000000,                      .23529411764705882,                                2.500000,                                2.125000,                   0,                   0
BirdsOnWire                                                                                                                     ,Argentina / en                                                  ,                   2,                   2,                   3,                    2,                     1.00000000000000000,                      .66666666666666666,                                2.500000,                                2.500000,                   0,                   0
BoatAngles                                                                                                                      ,Argentina / en                                                  ,                   1,                   1,                  10,                    1,                     1.00000000000000000,                      .10000000000000000,                                 .000000,                                2.000000,                   0,                   1
BoatEquations                                                                                                                   ,Argentina / en                                                  ,                   0,                   0,                   7,                    6,                      .00000000000000000,                      .85714285714285714,                                 .000000,                                4.375000,                   0,                   0
BottlesDivision                                                                                                                 ,Argentina / en                                                  ,                   0,                   0,                   7,                    6,                      .00000000000000000,                      .85714285714285714,                                 .000000,                                4.375000,                   0,                   0
BouncingBallAddition                                                                                                            ,Argentina / en                                                  ,                   0,                   0,                  11,                    5,                      .00000000000000000,                      .45454545454545454,                                 .000000,                                3.000000,                   0,                   0
BouncingBallSubtraction                                                                                                         ,Argentina / en                                                  ,                   0,                   0,                   8,                    5,                      .00000000000000000,                      .62500000000000000,                                 .000000,                                2.830000,                   0,                   1
BoxesMultiplication                                                                                                             ,Argentina / en                                                  ,                   0,                   0,                   1,                    1,                      .00000000000000000,                     1.00000000000000000,                                 .000000,                                5.000000,                   0,                   0
BreadAndCheese                                                                                                                  ,Argentina / en                                                  ,                   3,                   2,                   5,                    2,                      .66666666666666666,                      .40000000000000000,                                2.250000,                                2.250000,                   1,                   0
BreadAndCheeseAddingFractions                                                                                                   ,Argentina / en                                                  ,                   0,                   0,                   3,                    2,                      .00000000000000000,                      .66666666666666666,                                 .000000,                                5.000000,                   0,                   0
BreadAndCheeseComparison                                                                                                        ,Argentina / en                                                  ,                   2,                   1,                   1,                    1,                      .50000000000000000,                     1.00000000000000000,                                2.500000,                                2.500000,                   1,                   0
BreadAndCheeseEquivalentFractions                                                                                               ,Argentina / en                                                  ,                   4,                   3,                  13,                    3,                      .75000000000000000,                      .23076923076923076,                                2.000000,                                2.125000,                   1,                   1
BreadAndCheeseMixedNumbers                                                                                                      ,Argentina / en                                                  ,                   2,                   1,                  11,                    8,                      .50000000000000000,                      .72727272727272727,                                2.500000,                                2.208333,                   0,                   0
BubbleAddition                                                                                                                  ,Argentina / en                                                  ,                   1,                   1,                  11,                    2,                     1.00000000000000000,                      .18181818181818181,                                2.500000,                                1.500000,                   0,                   4
BuildingWithFigures                                                                                                             ,Argentina / en                                                  ,                   0,                   0,                   3,                    3,                      .00000000000000000,                     1.00000000000000000,                                 .000000,                                2.660000,                   0,                   0
BulbNetworkPuzzle                                                                                                               ,Argentina / en                                                  ,                   1,                   1,                  11,                    0,                     1.00000000000000000,                      .00000000000000000,                                2.500000,                                 .000000,                   0,                   0
BuyingToysPay                                                                                                                   ,Argentina / en                                                  ,                   4,                   4,                   0,                    0,                     1.00000000000000000,                      .00000000000000000,                                3.666666,                                 .000000,                   0,                   0
CakesFractionsAsDivision                                                                                                        ,Argentina / en                                                  ,                   6,                   5,                   0,                    0,                      .83333333333333333,                      .00000000000000000,                                4.375000,                                 .000000,                   0,                   0
CampingRiddles                                                                                                                  ,Argentina / en                                                  ,                   3,                   0,                   2,                    0,                      .00000000000000000,                      .00000000000000000,                                 .000000,                                 .000000,                   0,                   0
CannonProtractor                                                                                                                ,Argentina / en                                                  ,                   1,                   1,                   3,                    2,                     1.00000000000000000,                      .66666666666666666,                                1.500000,                                2.500000,                   0,                   1
CardsMultiplicationAsScaling                                                                                                    ,Argentina / en                                                  ,                   3,                   0,                  34,                   16,                      .00000000000000000,                      .47058823529411764,                                 .000000,                                2.030000,                   0,                   1
ChocolateMathProof                                                                                                              ,Argentina / en                                                  ,                  21,                  18,                   3,                    3,                      .85714285714285714,                     1.00000000000000000,                                2.500000,                                2.500000,                  21,                   3
ClassifyingQuadrilaterals                                                                                                       ,Argentina / en                                                  ,                  20,                  19,                   5,                    5,                      .95000000000000000,                     1.00000000000000000,                                2.142500,                                1.721666,                   0,                   0
ColoringBook2DShapes                                                                                                            ,Argentina / en                                                  ,                   0,                   0,                  16,                    9,                      .00000000000000000,                      .56250000000000000,                                 .000000,                                4.500000,                   0,                   0
CombiningVolumes                                                                                                                ,Argentina / en                                                  ,                   1,                   1,                   0,                    0,                     1.00000000000000000,                      .00000000000000000,                                3.000000,                                 .000000,                   0,                   0
ComparingFractionsOnTheNumberLine                                                                                               ,Argentina / en                                                  ,                   3,                   1,                   4,                    2,                      .33333333333333333,                      .50000000000000000,                                2.500000,                                2.250000,                   0,                   0
CompletingExpressions                                                                                                           ,Argentina / en                                                  ,                   4,                   4,                   3,                    3,                     1.00000000000000000,                     1.00000000000000000,                                1.750000,                                2.000000,                   0,                   0
CountingAnimals                                                                                                                 ,Argentina / en                                                  ,                   3,                   2,                   2,                    2,                      .66666666666666666,                     1.00000000000000000,                                2.250000,                                2.500000,                   0,                   0
CrayonsLinePlot                                                                                                                 ,Argentina / en                                                  ,                   0,                   0,                   1,                    0,                      .00000000000000000,                      .00000000000000000,                                 .000000,                                 .000000,                   0,                   0
CutAndGlue                                                                                                                      ,Argentina / en                                                  ,                  22,                  18,                   5,                    5,                      .81818181818181818,                     1.00000000000000000,                                2.345000,                                2.250000,                   1,                   0
DecimalAdditionWithScales                                                                                                       ,Argentina / en                                                  ,                   1,                   0,                   4,                    1,                      .00000000000000000,                      .25000000000000000,                                 .000000,                                2.000000,                   1,                   0
DecimalPaintMixing                                                                                                              ,Argentina / en                                                  ,                   4,                   1,                  18,                    8,                      .25000000000000000,                      .44444444444444444,                                 .000000,                                1.457500,                   0,                   2
DistributiveArea                                                                                                                ,Argentina / en                                                  ,                   4,                   3,                   8,                    4,                      .75000000000000000,                      .50000000000000000,                                2.333333,                                2.333333,                   1,                   2
DistributiveStickerPage                                                                                                         ,Argentina / en                                                  ,                   2,                   1,                   3,                    3,                      .50000000000000000,                     1.00000000000000000,                                2.500000,                                2.250000,                   1,                   0
