episode_name                                                                                                                    ,web_start_episode   ,web_finish_episode  ,tablet_start_episode,tablet_finish_episode,web_finish_rate                         ,tablet_finish_rate                      ,web_avg_stars                           ,tablet_avg_stars                        ,web_no_submit       ,tablet_no_submit    
AbsoluteValueWithCards                                                                                                          ,                 971,                 383,                 570,                  193,                      .39443872296601441,                      .33859649122807017,                                 .773500,                                 .900277,                 101,                  44
AddingAndSubtractingAngles                                                                                                      ,               13324,                6713,                7218,                 3405,                      .50382767937556289,                      .47173732335827098,                                1.771794,                                1.607893,                1581,                 752
AdditionWithPipes                                                                                                               ,               41510,               16601,               30421,                14285,                      .39992772825825102,                      .46957693698432004,                                1.787489,                                1.850474,                7480,                3560
AirportRegroupingMachine                                                                                                        ,               19515,                7648,               13667,                 4659,                      .39190366384832180,                      .34089412453354796,                                1.628342,                                1.466346,                1655,                1892
AlgorithmWorksheets                                                                                                             ,               29440,               14052,               15933,                 7100,                      .47730978260869565,                      .44561601707148685,                                1.659544,                                1.640368,                3798,                2160
AnglesAsCircularSectors                                                                                                         ,                7081,                4226,                5940,                 3901,                      .59680836040107329,                      .65673400673400673,                                1.807244,                                1.623147,                 634,                 358
AreaOfRectangles                                                                                                                ,                7442,                4163,                3679,                 1886,                      .55939263638806772,                      .51263930415873878,                                1.736580,                                1.574161,                 579,                 340
AreaOfRectanglesSimple                                                                                                          ,               22050,               14398,                9162,                 5794,                      .65297052154195011,                      .63239467365204103,                                1.920449,                                1.804627,                1417,                 622
ArrangingToys                                                                                                                   ,               41171,               17124,               25710,                10425,                      .41592382988025551,                      .40548424737456242,                                1.282000,                                1.195868,                3924,                2432
AskAMonsterComparison                                                                                                           ,               25074,               12124,               17398,                 7754,                      .48352875488553880,                      .44568341188642372,                                1.604732,                                1.473053,                3182,                2555
BalloonFractions                                                                                                                ,                9231,                4068,                3578,                 1544,                      .44068898277543061,                      .43152599217439910,                                1.407231,                                1.364424,                 599,                 180
BalloonSorting                                                                                                                  ,                6844,                5036,                8547,                 5944,                      .73582700175336060,                      .69544869544869544,                                2.040841,                                2.057745,                 538,                 874
BalloonSubtraction                                                                                                              ,                9709,                6901,               12590,                 8632,                      .71078380883716139,                      .68562351072279586,                                2.119820,                                2.122628,                 676,                1001
BandLocations                                                                                                                   ,               11814,                9617,               12921,                10475,                      .81403419671576096,                      .81069576658153393,                                2.014182,                                2.008857,                 125,                 124
